PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;456;3210;-2;1;0.0
0;2;0;0;456;469;50;2;1.0
0;3;0;469;456;127;-1;2;1.0
0;4;0;596;456;406;-2;2;1.0
0;5;0;596;419;406;44;3;4.0
0;6;419;596;37;406;-1;3;4.0
0;7;0;1002;456;332;-2;2;1.0
0;8;0;1002;345;332;47;3;7.0
0;9;345;1002;111;332;-1;3;7.0
0;10;0;1334;456;469;48;2;1.0
0;11;0;1803;456;469;53;2;1.0
0;12;0;2272;456;469;51;2;1.0
0;13;0;2741;456;469;57;2;1.0
0;14;456;0;1573;3210;-2;1;0.0
0;15;456;0;1573;1294;18;2;14.0
0;16;456;1294;1573;168;-2;2;14.0
0;17;456;1294;1322;168;0;3;16.0
0;18;1778;1294;251;168;-1;3;16.0
0;19;456;1462;1573;419;-2;2;14.0
0;20;456;1462;406;419;45;3;19.0
0;21;862;1462;1167;419;-1;3;19.0
0;22;456;1881;1573;1294;19;2;14.0
0;23;456;3175;1573;35;-1;2;14.0
0;24;2029;0;3296;3210;-2;1;0.0
0;25;2029;0;3296;1183;-2;2;24.0
0;26;2029;0;1989;1183;11;3;25.0
0;27;4018;0;668;1183;-2;3;25.0
0;28;4018;0;668;668;36;4;27.0
0;29;4018;668;668;515;-1;4;27.0
0;30;4686;0;639;1183;-1;3;25.0
0;31;2029;1183;3296;20;-1;2;24.0
0;32;2029;1203;3296;750;-2;2;24.0
0;33;2029;1203;2144;750;14;3;32.0
0;34;4173;1203;555;750;-2;3;32.0
0;35;4173;1203;555;568;70;4;34.0
0;36;4173;1771;555;182;-1;4;34.0
0;37;4728;1203;456;750;-2;3;32.0
0;38;4728;1203;456;469;62;4;37.0
0;39;4728;1672;456;281;-1;4;37.0
0;40;5184;1203;141;750;-1;3;32.0
0;41;2029;1953;3296;802;28;2;24.0
0;42;2029;2755;3296;179;-1;2;24.0
0;43;2029;2934;3296;247;-1;2;24.0
0;44;2029;3181;3296;29;-1;2;24.0
0;45;5325;0;491;3210;-2;1;0.0
0;46;5325;0;491;3013;15;2;45.0
0;47;5325;3013;491;197;-1;2;45.0
0;48;5816;0;138;3210;-1;1;0.0
0;49;5954;0;46;3210;-1;1;0.0
1;50;0;0;6000;3210;-2;0;
1;51;0;0;1288;3210;-2;1;50.0
1;52;0;0;1288;510;20;2;51.0
1;53;0;510;1288;183;-1;2;51.0
1;54;0;693;1288;1060;-2;2;51.0
1;55;0;693;663;1060;30;3;54.0
1;56;663;693;426;1060;-2;3;54.0
1;57;663;693;426;746;41;4;56.0
1;58;663;1439;426;314;-1;4;56.0
1;59;1089;693;199;1060;-1;3;54.0
1;60;0;1753;1288;1457;-2;2;51.0
1;61;0;1753;570;1457;17;3;60.0
1;62;570;1753;456;1457;-2;3;60.0
1;63;570;1753;456;469;55;4;62.0
1;64;570;2222;456;988;-1;4;62.0
1;65;1026;1753;262;1457;-1;3;60.0
1;66;1288;0;122;3210;-1;1;50.0
1;67;1410;0;250;3210;-1;1;50.0
1;68;1660;0;3296;3210;-2;1;50.0
1;69;1660;0;3296;150;-2;2;68.0
1;70;1660;0;855;150;5;3;69.0
1;71;2515;0;2441;150;-1;3;69.0
1;72;1660;150;3296;802;26;2;68.0
1;73;1660;952;3296;1203;-2;2;68.0
1;74;1660;952;1989;1203;10;3;73.0
1;75;3649;952;1307;1203;-1;3;73.0
1;76;1660;2155;3296;175;-2;2;68.0
1;77;1660;2155;2122;175;1;3;76.0
1;78;3782;2155;1174;175;-1;3;76.0
1;79;1660;2330;3296;802;27;2;68.0
