PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;491;3210;-2;1;0.0
0;2;0;0;491;3013;15;2;1.0
0;3;0;3013;491;197;-1;2;1.0
0;4;491;0;668;3210;-2;1;0.0
0;5;491;0;668;668;36;2;4.0
0;6;491;668;668;75;-1;2;4.0
0;7;491;743;668;2122;-2;2;4.0
0;8;491;743;175;2122;1;3;7.0
0;9;666;743;24;2122;-1;3;7.0
0;10;690;743;469;2122;-2;3;7.0
0;11;690;743;469;1210;-1;4;10.0
0;12;690;1953;469;456;57;4;10.0
0;13;690;2409;469;456;50;4;10.0
0;14;491;2865;668;345;-2;2;4.0
0;15;491;2865;332;345;47;3;14.0
0;16;823;2865;336;345;-1;3;14.0
0;17;1159;0;1294;3210;-2;1;0.0
0;18;1159;0;1294;212;-1;2;17.0
0;19;1159;212;1294;137;-2;2;17.0
0;20;1159;212;871;137;4;3;19.0
0;21;2030;212;423;137;-1;3;19.0
0;22;1159;349;1294;1573;18;2;17.0
0;23;1159;1922;1294;1288;-2;2;17.0
0;24;1159;1922;663;1288;-2;3;23.0
0;25;1159;1922;663;1060;30;4;24.0
0;26;1159;2982;663;228;-1;4;24.0
0;27;1822;1922;53;1288;-1;3;23.0
0;28;1875;1922;510;1288;21;3;23.0
0;29;2385;1922;68;1288;-1;3;23.0
0;30;2453;0;1077;3210;-2;1;0.0
0;31;2453;0;1077;555;-2;2;30.0
0;32;2453;0;568;555;70;3;31.0
0;33;3021;0;40;555;-1;3;31.0
0;34;3061;0;469;555;-2;3;31.0
0;35;3061;0;469;456;63;4;34.0
0;36;3061;456;469;99;-1;4;34.0
0;37;2453;555;1077;210;-1;2;30.0
0;38;2453;765;1077;1989;12;2;30.0
0;39;2453;2754;1077;456;-2;2;30.0
0;40;2453;2754;469;456;51;3;39.0
0;41;2922;2754;469;456;59;3;39.0
